______________________________________________________________________________________
| Остаток основного долга | Ежемесячный взнос | Погашение процентов | Погашение долга |
|                     500 |             44.55 |              42.125 |           2.425 |
|                     497 |             44.55 |             41.8723 |         2.67775 |
|                     494 |             44.55 |             41.6195 |          2.9305 |
|                     491 |             44.55 |             41.3668 |         3.18325 |
|                     487 |             44.55 |             41.0298 |         3.52025 |
|                     483 |             44.55 |             40.6928 |         3.85725 |
|                     479 |             44.55 |             40.3558 |         4.19425 |
|                     474 |             44.55 |             39.9345 |          4.6155 |
|                     469 |             44.55 |             39.5133 |         5.03675 |
|                     463 |             44.55 |             39.0078 |         5.54225 |
|                     457 |             44.55 |             38.5023 |         6.04775 |
|                     450 |             44.55 |             37.9125 |          6.6375 |
|                     443 |             44.55 |             37.3228 |         7.22725 |
|                     435 |             44.55 |             36.6488 |         7.90125 |
|                     427 |             44.55 |             35.9748 |         8.57525 |
|                     418 |             44.55 |             35.2165 |          9.3335 |
|                     408 |             44.55 |              34.374 |          10.176 |
|                     397 |             44.55 |             33.4473 |         11.1027 |
|                     385 |             44.55 |             32.4363 |         12.1137 |
|                     372 |             44.55 |              31.341 |          13.209 |
|                     358 |             44.55 |             30.1615 |         14.3885 |
|                     343 |             44.55 |             28.8978 |         15.6522 |
|                     327 |             44.55 |             27.5498 |         17.0002 |
|                     309 |             44.55 |             26.0333 |         18.5167 |
|                     290 |             44.55 |             24.4325 |         20.1175 |
|                     269 |             44.55 |             22.6632 |         21.8867 |
|                     247 |             44.55 |             20.8098 |         23.7402 |
|                     223 |             44.55 |             18.7878 |         25.7622 |
|                     197 |             44.55 |             16.5972 |         27.9527 |
|                     169 |             44.55 |             14.2383 |         30.3117 |
|                     138 |             44.55 |             11.6265 |         32.9235 |
|                     105 |             44.55 |             8.84625 |         35.7038 |
|                      69 |             44.55 |             5.81325 |         38.7367 |
|                      30 |                30 |              2.5275 |         27.4725 |
